breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge
price_band,12-20,102,11,102.0,30.0,0.29411764705882354,0.10784313725490197,12.0,0.06896553941193902
price_band,6-9,285,40,285.0,18.5,0.06491228070175438,0.14035087719298245,7.475438596491228,0.07195735908311983
price_band,3-6,58,11,58.0,-6.800000000000001,-0.11724137931034484,0.1896551724137931,4.794827586206897,0.07692925984312533
price_band,9-12,281,27,281.0,-12.5,-0.04448398576512456,0.09608540925266904,10.008896797153024,0.07284451171816554
track,Sandown,7,4,7.0,36.5,5.214285714285714,0.5714285714285714,10.285714285714286,0.08647086290018689
track,Rosehill,12,5,12.0,32.0,2.6666666666666665,0.4166666666666667,9.583333333333334,0.07211700384791069
track,Doomben,13,4,13.0,27.5,2.1153846153846154,0.3076923076923077,9.5,0.0765494047508677
track,Wyong,10,4,10.0,25.5,2.55,0.4,8.5,0.10507097778118295
track,Goulburn,6,3,6.0,19.5,3.25,0.5,7.833333333333333,0.0639185005562169
track,Wagga,4,2,4.0,18.0,4.5,0.5,10.375,0.06744438367042427
track,Launceston,14,3,14.0,12.8,0.9142857142857144,0.21428571428571427,8.157142857142857,0.09387836469156362
track,Penola,1,1,1.0,11.0,11.0,1.0,12.0,0.07477108814977555
track,Avondale,1,1,1.0,11.0,11.0,1.0,12.0,0.0914476825834624
track,Tauranga,1,1,1.0,11.0,11.0,1.0,12.0,0.0445049759180669
track,Cairns,12,3,12.0,8.5,0.7083333333333334,0.25,8.75,0.08867057421630946
track,Port Macquarie,4,1,4.0,8.0,2.0,0.25,10.875,0.07919919238569956
track,Towong,3,1,3.0,8.0,2.6666666666666665,0.3333333333333333,8.666666666666666,0.11970588152692707
track,Kembla Grange,7,2,7.0,7.9,1.1285714285714286,0.2857142857142857,8.842857142857143,0.09895476051505823
track,Parkes,1,1,1.0,7.5,7.5,1.0,8.5,0.06354258811505033
track,Taree,5,1,5.0,7.0,1.4,0.2,10.1,0.07170122316706637
track,Sapphire Coast,2,1,2.0,7.0,3.5,0.5,7.75,0.05666922485842993
track,Riccarton,3,1,3.0,7.0,2.3333333333333335,0.3333333333333333,8.333333333333334,0.05268052001190162
track,Pinjarra,8,2,8.0,7.0,0.875,0.25,9.0625,0.054821724702869994
track,Barcaldine,2,1,2.0,6.0,3.0,0.5,8.75,0.05716867869647527
track,Bordertown,3,1,3.0,5.5,1.8333333333333333,0.3333333333333333,8.0,0.05410104702358728
track,Geraldton,3,1,3.0,5.5,1.8333333333333333,0.3333333333333333,9.0,0.06493322118425941
track,Belmont,4,1,4.0,5.5,1.375,0.25,9.125,0.0646497897879825
track,Tamworth,3,1,3.0,5.0,1.6666666666666667,0.3333333333333333,8.5,0.06559269010764353
track,Stony Creek,1,1,1.0,5.0,5.0,1.0,6.0,0.06120592453959928
track,Ararat,3,1,3.0,5.0,1.6666666666666667,0.3333333333333333,9.5,0.0704058546554067
track,Wellington,4,1,4.0,5.0,1.25,0.25,8.625,0.07415040249311185
