SUMMARY
Total Bets: 1149
Total Staked: 1149.000
Total Profit: 3864.000
Roi: 336.29%
Strike Rate: 81.90%
Avg Price: 5.447
Avg Edge: 62.05%
Wins: 941

Staking comparison:
  Flat stake  ROI: 336.3%  profit: 3864.00  staked: 1149.00
  Fibonacci   ROI: 339.9%  profit: 4782.70  staked: 1407.00  max_level: 4  max_stake: 8.00 units

PRICE BAND
breakdown_type group_value  bets  wins  total_staked  total_profit      roi  strike_rate  avg_price  avg_edge
    price_band         3-6   529   453         529.0        1323.9 2.502647     0.856333   4.119471  0.651598
    price_band         6-9   267   199         267.0        1142.0 4.277154     0.745318   7.101124  0.597031
    price_band        9-12   134   106         134.0         910.5 6.794776     0.791045   9.932836  0.614991
    price_band       12-20    32    26          32.0         280.0 8.750000     0.812500  12.000000  0.671963
    price_band          <3   187   157         187.0         207.6 1.110160     0.839572   2.505080  0.561231

TRACK
breakdown_type               group_value  bets  wins  total_staked  total_profit       roi  strike_rate  avg_price  avg_edge
         track             Morphettville    32    23          32.0        103.60  3.237500     0.718750   5.734375  0.607167
         track                  Pakenham    34    28          34.0         90.65  2.666176     0.823529   4.527941  0.599366
         track                   Doomben    26    18          26.0         89.50  3.442308     0.692308   6.203846  0.491619
         track                  Rosehill    19    16          19.0         86.10  4.531579     0.842105   6.663158  0.571037
         track                Eagle Farm    28    21          28.0         82.90  2.960714     0.750000   5.737500  0.632187
         track                     Ascot    31    17          31.0         70.80  2.283871     0.548387   6.069355  0.477659
         track                Launceston    25    18          25.0         69.10  2.764000     0.720000   5.128000  0.544902
         track            Sunshine Coast    16    14          16.0         68.10  4.256250     0.875000   5.875000  0.621397
         track                     Wyong    17    15          17.0         64.20  3.776471     0.882353   5.511765  0.598112
         track                   Sandown    14    11          14.0         62.55  4.467857     0.785714   7.039286  0.528098
         track                Cranbourne    24    17          24.0         61.00  2.541667     0.708333   4.847917  0.540443
         track                    Hawera    14    12          14.0         59.20  4.228571     0.857143   6.264286  0.610847
         track                    Cairns    15    12          15.0         58.40  3.893333     0.800000   6.080000  0.649781
         track                   Grafton    14    13          14.0         57.35  4.096429     0.928571   5.267857  0.732959
         track                   Geelong    15    14          15.0         56.65  3.776667     0.933333   5.110000  0.707716
         track                      Sale    13    13          13.0         56.25  4.326923     1.000000   5.326923  0.787680
         track                Gold Coast    16    15          16.0         55.85  3.490625     0.937500   4.896875  0.661054
         track                 Newcastle    19    15          19.0         55.40  2.915789     0.789474   4.757895  0.681614
         track                   Ipswich    20    13          20.0         54.20  2.710000     0.650000   6.030000  0.572860
         track                Hawkesbury    14    12          14.0         54.00  3.857143     0.857143   5.628571  0.664259
         track                  Ballarat    16    14          16.0         53.50  3.343750     0.875000   4.818750  0.652985
         track                  Canberra    17    12          17.0         52.15  3.067647     0.705882   5.685294  0.559307
         track                    Mackay    14    11          14.0         51.30  3.664286     0.785714   6.057143  0.588705
         track               Rockhampton    10     9          10.0         47.80  4.780000     0.900000   6.090000  0.635590
         track                  Pukekohe    10     9          10.0         47.25  4.725000     0.900000   6.675000  0.711265
         track                Flemington    12    11          12.0         46.70  3.891667     0.916667   5.808333  0.640483
         track                  Goulburn    10     8          10.0         46.30  4.630000     0.800000   6.780000  0.601637
         track            Port Macquarie     8     7           8.0         45.25  5.656250     0.875000   7.218750  0.653299
         track                 Toowoomba    17    13          17.0         43.65  2.567647     0.764706   5.373529  0.638849
         track                 Caulfield    15    13          15.0         43.30  2.886667     0.866667   4.660000  0.703187
         track                    Albury    11     8          11.0         43.30  3.936364     0.727273   6.009091  0.636012
         track                    Albany    14    13          14.0         42.90  3.064286     0.928571   4.421429  0.725455
         track                  Randwick    19    12          19.0         42.00  2.210526     0.631579   5.057895  0.439771
         track                  Waverley    12    11          12.0         41.20  3.433333     0.916667   5.350000  0.675905
         track        Pinjarra Scarpside    10     7          10.0         39.20  3.920000     0.700000   5.920000  0.581839
         track                  Pinjarra    11     8          11.0         37.90  3.445455     0.727273   5.581818  0.604928
         track            Sapphire Coast     8     7           8.0         37.60  4.700000     0.875000   6.162500  0.562854
         track              Port Lincoln    10     9          10.0         36.00  3.600000     0.900000   5.150000  0.435515
         track                  Wanganui    10     9          10.0         34.40  3.440000     0.900000   5.140000  0.683876
         track                     Taree    10     7          10.0         34.40  3.440000     0.700000   6.440000  0.597890
         track             Kembla Grange    10     9          10.0         33.40  3.340000     0.900000   5.090000  0.669245
         track                  Matamata     6     6           6.0         33.20  5.533333     1.000000   6.533333  0.764001
         track               Warrnambool    11    10          11.0         32.50  2.954545     0.909091   4.681818  0.652353
         track                     Dalby     9     7           9.0         32.35  3.594444     0.777778   5.983333  0.560392
         track                     Otaki     6     5           6.0         31.90  5.316667     0.833333   7.316667  0.689057
         track                  Riverton     6     6           6.0         29.80  4.966667     1.000000   5.966667  0.770700
         track                   Seymour    11    10          11.0         29.25  2.659091     0.909091   4.522727  0.695186
         track              Muswellbrook    10     8          10.0         28.30  2.830000     0.800000   5.010000  0.665513
         track                    Terang    10     8          10.0         28.10  2.810000     0.800000   5.510000  0.659332
         track                     Dubbo     6     5           6.0         27.90  4.650000     0.833333   7.483333  0.635580
         track                   Stawell     6     6           6.0         27.40  4.566667     1.000000   5.566667  0.774407
         track                   Kyneton     7     7           7.0         27.30  3.900000     1.000000   4.900000  0.785060
         track                Mornington     8     7           8.0         26.85  3.356250     0.875000   4.906250  0.648223
         track           Gold Coast Poly     8     7           8.0         25.40  3.175000     0.875000   5.175000  0.584578
         track                    Hobart     8     7           8.0         24.15  3.018750     0.875000   4.956250  0.666388
         track             Alice Springs    12     7          12.0         23.90  1.991667     0.583333   5.291667  0.518467
         track                 Geraldton     5     5           5.0         23.45  4.690000     1.000000   5.690000  0.642205
         track                   Rotorua     5     4           5.0         23.40  4.680000     0.800000   7.180000  0.536096
         track       Randwick-Kensington     7     6           7.0         23.10  3.300000     0.857143   4.928571  0.633240
         track                  Werribee     6     6           6.0         22.80  3.800000     1.000000   4.800000  0.764956
         track              Tauherenikau     5     5           5.0         22.25  4.450000     1.000000   5.450000  0.769733
         track                   Belmont     6     6           6.0         22.25  3.708333     1.000000   4.708333  0.691127
         track                Queanbeyan     5     4           5.0         22.00  4.400000     0.800000   6.140000  0.504555
         track             Mount Gambier     8     7           8.0         21.90  2.737500     0.875000   4.362500  0.655024
         track                    Darwin     4     4           4.0         21.80  5.450000     1.000000   6.450000  0.646020
         track                   Kilmore     8     8           8.0         21.70  2.712500     1.000000   3.712500  0.713944
         track                 Ashburton     5     5           5.0         21.60  4.320000     1.000000   5.320000  0.814480
         track                    Penola     3     3           3.0         21.00  7.000000     1.000000   8.000000  0.869501
         track                 Riccarton     3     3           3.0         20.90  6.966667     1.000000   7.966667  0.617599
         track                 Balaklava     8     5           8.0         20.90  2.612500     0.625000   5.900000  0.439044
         track                   Horsham     5     4           5.0         20.60  4.120000     0.800000   6.320000  0.802657
         track                   Bendigo     8     6           8.0         20.40  2.550000     0.750000   6.425000  0.532644
         track              Yarra Valley     6     5           6.0         20.40  3.400000     0.833333   4.766667  0.744861
         track                   Wodonga     3     3           3.0         20.40  6.800000     1.000000   7.800000  0.858025
         track                      York     7     5           7.0         20.40  2.914286     0.714286   5.428571  0.494901
         track                  Narrogin     6     5           6.0         20.30  3.383333     0.833333   5.466667  0.518184
         track                    Ararat     7     6           7.0         19.60  2.800000     0.857143   5.157143  0.627158
         track                     Scone     4     4           4.0         19.20  4.800000     1.000000   5.800000  0.649704
         track                    Echuca     5     5           5.0         18.70  3.740000     1.000000   4.740000  0.751086
