SUMMARY
Total Bets: 866
Total Staked: 866.000
Total Profit: 3813.900
Roi: 440.40%
Strike Rate: 86.72%
Avg Price: 6.291
Avg Edge: 68.05%
Wins: 751

Staking comparison:
  Flat stake  ROI: 440.4%  profit: 3813.90  staked: 866.00
  Fibonacci   ROI: 430.8%  profit: 4376.90  staked: 1016.00  max_level: 4  max_stake: 8.00 units

PRICE BAND
breakdown_type group_value  bets  wins  total_staked  total_profit      roi  strike_rate  avg_price  avg_edge
    price_band         3-6   480   421         480.0        1238.4 2.580000     0.877083   4.090208  0.652242
    price_band         6-9   207   175         207.0        1027.5 4.963768     0.845411   7.074879  0.693353
    price_band        9-12   102    92         102.0         801.0 7.852941     0.901961   9.877451  0.738431
    price_band       12-20    77    63          77.0         747.0 9.701299     0.818182  13.155844  0.745788

TRACK
breakdown_type               group_value  bets  wins  total_staked  total_profit       roi  strike_rate  avg_price  avg_edge
         track             Morphettville    27    21          27.0         115.3  4.270370     0.777778   6.159259  0.649669
         track                      Sale    14    14          14.0          92.9  6.635714     1.000000   7.635714  0.830888
         track                Eagle Farm    23    19          23.0          92.7  4.030435     0.826087   6.660870  0.683130
         track                   Doomben    16    15          16.0          87.3  5.456250     0.937500   6.956250  0.660198
         track                  Pakenham    21    17          21.0          80.6  3.838095     0.809524   5.780952  0.661899
         track                    Hawera    13    13          13.0          74.2  5.707692     1.000000   6.707692  0.690443
         track                Gold Coast    16    14          16.0          69.9  4.368750     0.875000   5.981250  0.612032
         track                Flemington    12    11          12.0          68.4  5.700000     0.916667   7.616667  0.707058
         track                 Newcastle    18    14          18.0          66.4  3.688889     0.777778   5.577778  0.677335
         track                 Caulfield    16    13          16.0          65.3  4.081250     0.812500   6.618750  0.720131
         track            Sunshine Coast    14    13          14.0          64.1  4.578571     0.928571   5.821429  0.681242
         track                  Rosehill    13    11          13.0          62.8  4.830769     0.846154   6.830769  0.616144
         track                    Mackay    11    10          11.0          62.5  5.681818     0.909091   7.227273  0.716839
         track                  Pukekohe     8     8           8.0          57.3  7.162500     1.000000   8.162500  0.757939
         track                   Geelong    12    12          12.0          56.9  4.741667     1.000000   5.741667  0.683351
         track                   Grafton    11    11          11.0          56.2  5.109091     1.000000   6.109091  0.784507
         track                   Sandown     6     5           6.0          55.0  9.166667     0.833333  11.000000  0.666149
         track                Hawkesbury    12    10          12.0          54.9  4.575000     0.833333   6.475000  0.749779
         track                   Ipswich    18    12          18.0          53.5  2.972222     0.666667   6.272222  0.610095
         track                     Ascot    21    11          21.0          53.4  2.542857     0.523810   6.680952  0.516017
         track               Rockhampton     9     8           9.0          53.0  5.888889     0.888889   7.233333  0.697522
         track                    Albany    13    11          13.0          48.8  3.753846     0.846154   6.292308  0.702420
         track                     Wyong    11    10          11.0          48.2  4.381818     0.909091   6.018182  0.593134
         track                    Cairns    11     9          11.0          46.4  4.218182     0.818182   6.200000  0.706869
         track              Yarra Valley     7     7           7.0          46.4  6.628571     1.000000   7.628571  0.814987
         track                    Albury     9     8           9.0          45.3  5.033333     0.888889   6.500000  0.719716
         track                     Otaki     6     6           6.0          44.9  7.483333     1.000000   8.483333  0.796516
         track             Kembla Grange     8     8           8.0          43.4  5.425000     1.000000   6.425000  0.790773
         track                  Ballarat    11    10          11.0          40.4  3.672727     0.909091   4.963636  0.699633
         track        Pinjarra Scarpside     9     7           9.0          40.2  4.466667     0.777778   6.277778  0.558116
         track                Cranbourne    13    11          13.0          39.9  3.069231     0.846154   4.953846  0.684251
         track                Launceston    14     9          14.0          39.5  2.821429     0.642857   6.214286  0.560358
         track                  Pinjarra    10     8          10.0          38.9  3.890000     0.800000   6.160000  0.611755
