model_prob_bucket,runners,wins,actual_win_pct,model_prob_pct,market_prob_pct,calibration_ratio,combo_label,weight_market_sanity,weight_steam,abs_cal_error_pp
0-5%,3467,84,2.4,3.4,3.7,0.71,baseline,0.0092,0.08,1.0
5-7%,3652,184,5.0,6.2,7.0,0.82,baseline,0.0092,0.08,1.2000000000000002
7-10%,2578,204,7.9,8.3,10.1,0.95,baseline,0.0092,0.08,0.40000000000000036
10-15%,4472,523,11.7,11.9,14.5,0.98,baseline,0.0092,0.08,0.20000000000000107
15-25%,2634,584,22.2,19.0,23.5,1.17,baseline,0.0092,0.08,3.1999999999999993
25%+,216,76,35.2,31.3,36.0,1.12,baseline,0.0092,0.08,3.900000000000002
0-5%,3249,85,2.6,3.5,3.8,0.75,mkt=0.010|steam=0.040,0.01,0.04,0.8999999999999999
5-7%,3833,201,5.2,6.1,7.3,0.85,mkt=0.010|steam=0.040,0.01,0.04,0.8999999999999995
7-10%,2591,199,7.7,8.3,10.1,0.93,mkt=0.010|steam=0.040,0.01,0.04,0.6000000000000005
10-15%,4532,527,11.6,11.8,14.5,0.98,mkt=0.010|steam=0.040,0.01,0.04,0.20000000000000107
15-25%,2610,571,21.9,18.8,23.0,1.16,mkt=0.010|steam=0.040,0.01,0.04,3.099999999999998
25%+,204,72,35.3,31.3,34.7,1.13,mkt=0.010|steam=0.040,0.01,0.04,3.9999999999999964
0-5%,3333,87,2.6,3.4,3.7,0.76,mkt=0.010|steam=0.060,0.01,0.06,0.7999999999999998
5-7%,3758,186,4.9,6.1,7.0,0.81,mkt=0.010|steam=0.060,0.01,0.06,1.1999999999999993
7-10%,2565,192,7.5,8.3,10.2,0.9,mkt=0.010|steam=0.060,0.01,0.06,0.8000000000000007
10-15%,4528,532,11.7,11.8,14.4,0.99,mkt=0.010|steam=0.060,0.01,0.06,0.10000000000000142
15-25%,2630,586,22.3,18.9,23.4,1.18,mkt=0.010|steam=0.060,0.01,0.06,3.400000000000002
25%+,205,72,35.1,31.4,35.8,1.12,mkt=0.010|steam=0.060,0.01,0.06,3.700000000000003
0-5%,3466,84,2.4,3.4,3.7,0.71,mkt=0.010|steam=0.080,0.01,0.08,1.0
5-7%,3656,184,5.0,6.1,7.0,0.82,mkt=0.010|steam=0.080,0.01,0.08,1.0999999999999996
7-10%,2574,204,7.9,8.3,10.1,0.96,mkt=0.010|steam=0.080,0.01,0.08,0.40000000000000036
10-15%,4470,523,11.7,11.9,14.5,0.98,mkt=0.010|steam=0.080,0.01,0.08,0.20000000000000107
15-25%,2637,583,22.1,19.0,23.5,1.17,mkt=0.010|steam=0.080,0.01,0.08,3.1000000000000014
25%+,216,77,35.6,31.3,36.0,1.14,mkt=0.010|steam=0.080,0.01,0.08,4.300000000000001
0-5%,3610,85,2.4,3.3,3.7,0.7,mkt=0.010|steam=0.100,0.01,0.1,0.8999999999999999
5-7%,3597,183,5.1,6.2,7.1,0.83,mkt=0.010|steam=0.100,0.01,0.1,1.1000000000000005
7-10%,2495,204,8.2,8.3,10.2,0.99,mkt=0.010|steam=0.100,0.01,0.1,0.10000000000000142
10-15%,4417,510,11.5,11.9,14.4,0.97,mkt=0.010|steam=0.100,0.01,0.1,0.40000000000000036
15-25%,2685,592,22.0,19.0,23.7,1.16,mkt=0.010|steam=0.100,0.01,0.1,3.0
25%+,215,81,37.7,31.7,37.0,1.19,mkt=0.010|steam=0.100,0.01,0.1,6.0000000000000036
0-5%,3265,85,2.6,3.5,3.7,0.75,mkt=0.030|steam=0.040,0.03,0.04,0.8999999999999999
5-7%,3868,196,5.1,6.2,7.0,0.82,mkt=0.030|steam=0.040,0.03,0.04,1.1000000000000005
7-10%,2584,192,7.4,8.3,10.1,0.9,mkt=0.030|steam=0.040,0.03,0.04,0.9000000000000004
10-15%,4478,521,11.6,11.8,14.5,0.98,mkt=0.030|steam=0.040,0.03,0.04,0.20000000000000107
15-25%,2611,582,22.3,18.9,23.3,1.18,mkt=0.030|steam=0.040,0.03,0.04,3.400000000000002
25%+,213,79,37.1,31.4,37.1,1.18,mkt=0.030|steam=0.040,0.03,0.04,5.700000000000003
0-5%,3373,81,2.4,3.5,3.6,0.69,mkt=0.030|steam=0.060,0.03,0.06,1.1
5-7%,3778,192,5.1,6.2,6.9,0.83,mkt=0.030|steam=0.060,0.03,0.06,1.1000000000000005
7-10%,2589,186,7.2,8.3,10.1,0.86,mkt=0.030|steam=0.060,0.03,0.06,1.1000000000000005
10-15%,4441,520,11.7,11.9,14.4,0.99,mkt=0.030|steam=0.060,0.03,0.06,0.20000000000000107
15-25%,2620,595,22.7,18.9,23.8,1.2,mkt=0.030|steam=0.060,0.03,0.06,3.8000000000000007
25%+,218,81,37.2,31.5,37.5,1.18,mkt=0.030|steam=0.060,0.03,0.06,5.700000000000003
0-5%,3488,82,2.4,3.4,3.6,0.69,mkt=0.030|steam=0.080,0.03,0.08,1.0
5-7%,3687,180,4.9,6.1,6.9,0.79,mkt=0.030|steam=0.080,0.03,0.08,1.1999999999999993
7-10%,2538,193,7.6,8.3,10.0,0.92,mkt=0.030|steam=0.080,0.03,0.08,0.7000000000000011
10-15%,4445,524,11.8,11.9,14.4,0.99,mkt=0.030|steam=0.080,0.03,0.08,0.09999999999999964
15-25%,2635,589,22.4,19.0,24.0,1.18,mkt=0.030|steam=0.080,0.03,0.08,3.3999999999999986
25%+,226,87,38.5,31.5,38.0,1.22,mkt=0.030|steam=0.080,0.03,0.08,7.0
