breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge,combo_label,weight_market_sanity,weight_steam,base_roi,base_strike_rate,base_bets,base_total_profit,delta_roi,delta_strike_rate,delta_bets,delta_total_profit
price_band,9-12,146,21,146.0,66.0,0.4520547945205479,0.14383561643835616,9.917808219178083,0.08952456260235724,baseline,0.0092,0.08,0.4520547945205479,0.14383561643835616,146,66.0,0.0,0.0,0,0.0
price_band,6-9,227,33,227.0,17.5,0.07709251101321586,0.14537444933920704,7.297356828193832,0.08203497915930431,baseline,0.0092,0.08,0.07709251101321586,0.14537444933920704,227,17.5,0.0,0.0,0,0.0
price_band,12-20,124,10,124.0,6.0,0.04838709677419355,0.08064516129032258,13.290322580645162,0.10308947833352318,baseline,0.0092,0.08,0.04838709677419355,0.08064516129032258,124,6.0,0.0,0.0,0,0.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.08822253178219597,baseline,0.0092,0.08,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,3-6,56,6,56.0,-30.2,-0.5392857142857143,0.10714285714285714,4.908928571428571,0.0796608242562404,baseline,0.0092,0.08,-0.5392857142857143,0.10714285714285714,56,-30.2,0.0,0.0,0,0.0
price_band,9-12,158,17,158.0,13.0,0.08227848101265822,0.10759493670886076,9.927215189873417,0.09133042886520192,mkt=0.010|steam=0.040,0.01,0.04,0.4520547945205479,0.14383561643835616,146,66.0,-0.3697763135078897,-0.03624067972949539,12,-53.0
price_band,12-20,142,12,142.0,11.0,0.07746478873239436,0.08450704225352113,13.19718309859155,0.09638527166041014,mkt=0.010|steam=0.040,0.01,0.04,0.04838709677419355,0.08064516129032258,124,6.0,0.029077691958200813,0.003861880963198547,18,5.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.09043097987430321,mkt=0.010|steam=0.040,0.01,0.04,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,6-9,237,31,237.0,-9.0,-0.0379746835443038,0.1308016877637131,7.324894514767933,0.08207238571424394,mkt=0.010|steam=0.040,0.01,0.04,0.07709251101321586,0.14537444933920704,227,17.5,-0.11506719455751965,-0.014572761575493948,10,-26.5
price_band,3-6,44,4,44.0,-24.6,-0.5590909090909091,0.09090909090909091,4.940909090909091,0.08363986737452148,mkt=0.010|steam=0.040,0.01,0.04,-0.5392857142857143,0.10714285714285714,56,-30.2,-0.019805194805194826,-0.016233766233766225,-12,5.599999999999998
price_band,9-12,146,18,146.0,34.0,0.2328767123287671,0.1232876712328767,9.893835616438356,0.09114915098549514,mkt=0.010|steam=0.060,0.01,0.06,0.4520547945205479,0.14383561643835616,146,66.0,-0.2191780821917808,-0.02054794520547945,0,-32.0
price_band,12-20,135,13,135.0,30.0,0.2222222222222222,0.0962962962962963,13.162962962962963,0.09814083337471007,mkt=0.010|steam=0.060,0.01,0.06,0.04838709677419355,0.08064516129032258,124,6.0,0.17383512544802865,0.015651135005973718,11,24.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.08935768097650432,mkt=0.010|steam=0.060,0.01,0.06,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,6-9,223,29,223.0,-13.5,-0.06053811659192825,0.13004484304932734,7.316143497757848,0.08152710396337458,mkt=0.010|steam=0.060,0.01,0.06,0.07709251101321586,0.14537444933920704,227,17.5,-0.1376306276051441,-0.0153296062898797,-4,-31.0
price_band,3-6,50,7,50.0,-18.2,-0.364,0.14,4.934,0.08005539907531292,mkt=0.010|steam=0.060,0.01,0.06,-0.5392857142857143,0.10714285714285714,56,-30.2,0.17528571428571427,0.032857142857142876,-6,12.0
price_band,9-12,146,21,146.0,66.0,0.4520547945205479,0.14383561643835616,9.917808219178083,0.08953584317605426,mkt=0.010|steam=0.080,0.01,0.08,0.4520547945205479,0.14383561643835616,146,66.0,0.0,0.0,0,0.0
price_band,6-9,228,32,228.0,8.5,0.03728070175438596,0.14035087719298245,7.296052631578948,0.08195644667172819,mkt=0.010|steam=0.080,0.01,0.08,0.07709251101321586,0.14537444933920704,227,17.5,-0.0398118092588299,-0.005023572146224592,1,-9.0
price_band,12-20,123,10,123.0,7.0,0.056910569105691054,0.08130081300813008,13.284552845528456,0.10308062235167269,mkt=0.010|steam=0.080,0.01,0.08,0.04838709677419355,0.08064516129032258,124,6.0,0.008523472331497507,0.0006556517178075011,-1,1.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.08822429035312607,mkt=0.010|steam=0.080,0.01,0.08,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,3-6,55,6,55.0,-29.2,-0.5309090909090909,0.10909090909090909,4.907272727272727,0.08031408290180893,mkt=0.010|steam=0.080,0.01,0.08,-0.5392857142857143,0.10714285714285714,56,-30.2,0.008376623376623371,0.0019480519480519487,-1,1.0
price_band,9-12,140,16,140.0,25.0,0.17857142857142858,0.11428571428571428,9.907142857142857,0.09090905743525862,mkt=0.010|steam=0.100,0.01,0.1,0.4520547945205479,0.14383561643835616,146,66.0,-0.2734833659491194,-0.029549902152641874,-6,-41.0
price_band,6-9,230,34,230.0,18.5,0.08043478260869565,0.14782608695652175,7.280434782608696,0.0833799161022563,mkt=0.010|steam=0.100,0.01,0.1,0.07709251101321586,0.14537444933920704,227,17.5,0.0033422715954797844,0.002451637617314706,3,1.0
price_band,12-20,123,10,123.0,7.0,0.056910569105691054,0.08130081300813008,13.252032520325203,0.10426857221076657,mkt=0.010|steam=0.100,0.01,0.1,0.04838709677419355,0.08064516129032258,124,6.0,0.008523472331497507,0.0006556517178075011,-1,1.0
price_band,<3,2,1,2.0,0.8999999999999999,0.44999999999999996,0.5,2.8,0.0873428040780995,mkt=0.010|steam=0.100,0.01,0.1,1.9,1.0,1,1.9,-1.45,-0.5,1,-1.0
price_band,3-6,57,8,57.0,-21.3,-0.3736842105263158,0.14035087719298245,4.973684210526316,0.0811810506682345,mkt=0.010|steam=0.100,0.01,0.1,-0.5392857142857143,0.10714285714285714,56,-30.2,0.16560150375939847,0.03320802005012531,1,8.899999999999999
price_band,12-20,135,12,135.0,16.0,0.11851851851851852,0.08888888888888889,13.162962962962963,0.09610659014925951,mkt=0.030|steam=0.040,0.03,0.04,0.04838709677419355,0.08064516129032258,124,6.0,0.07013142174432498,0.008243727598566314,11,10.0
price_band,6-9,240,33,240.0,4.0,0.016666666666666666,0.1375,7.352083333333334,0.0809233168628297,mkt=0.030|steam=0.040,0.03,0.04,0.07709251101321586,0.14537444933920704,227,17.5,-0.0604258443465492,-0.00787444933920703,13,-13.5
price_band,<3,2,1,2.0,0.8999999999999999,0.44999999999999996,0.5,2.8,0.0915877889649852,mkt=0.030|steam=0.040,0.03,0.04,1.9,1.0,1,1.9,-1.45,-0.5,1,-1.0
